title,features
Grumpier Old Men,Grumpy Old Men Collection Romance Comedy Howard Deutch Warner Bros. Lancaster Gate United States of America
First Knight, Action Adventure Drama Romance Jerry Zucker Columbia Pictures Corporation First Knight Productions United States of America
Unzipped, Documentary Douglas Keeve  United States of America
Tommy Boy, Comedy Peter Segal Paramount Pictures United States of America
Frank and Ollie, Documentary Theodore Thomas Walt Disney Pictures Theodore Thomas Productions United States of America
Martin Lawrence: You So Crazy, Comedy Thomas Schlamme HBO Independent Productions United States of America
The Air Up There, Comedy Family Paul Michael Glaser Hollywood Pictures PolyGram Filmed Entertainment Interscope Communications Nomura Babcock & Brown NBB Unit One Film Partners Longview Entertainment United States of America
Fearless, Drama Peter Weir Spring Creek Productions Warner Bros. United States of America
With Honors, Comedy Drama Alek Keshishian Spring Creek Productions Warner Bros. United States of America
Lightning Jack, Action Comedy Western Simon Wincer Paul Hogan Greg Coote Savoy Pictures Australia United States of America
The Next Karate Kid,The Karate Kid Collection Adventure Christopher Cain Columbia Pictures Corporation United States of America
North, Comedy Drama Family Fantasy Science Fiction Rob Reiner Columbia Pictures New Line Cinema Castle Rock Entertainment United States of America
Welcome to the Dollhouse, Comedy Drama Todd Solondz  United States of America
Germinal, Drama Romance Claude Berri Renn Productions France 2 Cinéma DD Productions Belgium France Italy
Loaded, Drama Mystery Thriller Anna Campion  
Mystery Science Theater 3000: The Movie, Comedy Science Fiction Jim Mallon Universal Pictures Gramercy Pictures Best Brains United States of America
The Fan, Drama Mystery Thriller Tony Scott TriStar Pictures Mandalay Entertainment United States of America
Project S,Police Story Collection Action Adventure Crime Stanley Tong Golden Harvest Company Hong Kong
Gone with the Wind, Drama Romance War Victor Fleming Selznick International Pictures Metro-Goldwyn-Mayer (MGM) United States of America
Father of the Bride, Comedy Drama Family Romance Vincente Minnelli Metro-Goldwyn-Mayer (MGM) United States of America
Pete's Dragon, Fantasy Animation Comedy Family Don Chaffey Walt Disney Productions United States of America
Best of the Best 3: No Turning Back,Best of the Best Collection Action Phillip Rhee  United States of America
Return of the Jedi,Star Wars Collection Adventure Action Science Fiction Richard Marquand Lucasfilm Twentieth Century Fox Film Corporation United States of America
Stalker, Drama Science Fiction Thriller Andrei Tarkovsky Mosfilm Russia
Braindead, Horror Comedy Peter Jackson WingNut Films New Zealand Film Commission Avalon/NFU Studios New Zealand
The Bridge on the River Kwai, Drama History War David Lean Columbia Pictures Corporation Horizon Pictures (II) United Kingdom United States of America
The Shining, Horror Thriller Stanley Kubrick Hawk Films Warner Bros. Peregrine United States of America United Kingdom
The Preacher's Wife, Fantasy Drama Comedy Science Fiction Romance Family Penny Marshall Touchstone Pictures United States of America
B.A.P.S., Action Comedy Robert Townsend New Line Cinema Island Pictures 
Star Maps, Comedy Drama Miguel Arteta  
The Peacemaker, Action Thriller Mimi Leder DreamWorks SKG United States of America
The Leading Man, Thriller Drama Romance John Duigan J&M Entertainment BMG Independents United Kingdom
Friday the 13th Part 2,"Friday the 13th Collection Horror Thriller Steve Miner Paramount Pictures Georgetown Productions, Inc. United States of America"
Child's Play,Child's Play Collection Horror Thriller Tom Holland United Artists United States of America
Poltergeist III,Poltergeist Collection Horror Thriller Gary Sherman Metro-Goldwyn-Mayer (MGM) United States of America
Hot Lead & Cold Feet, Action Comedy Family Western Robert Butler  
Indiana Jones and the Temple of Doom,Indiana Jones Collection Adventure Action Steven Spielberg Lucasfilm Paramount Pictures United States of America
Adventures in Babysitting, Thriller Comedy Crime Adventure Chris Columbus Silver Screen Partners III Touchstone Pictures United States of America
The Thing,The Thing Collection Horror Mystery Science Fiction John Carpenter Universal Pictures Turman-Foster Company United States of America
Godzilla,Godzilla (Showa) Collection Thriller Horror Science Fiction Ishirô Honda Toho Film (Eiga) Co. Ltd. Japan
Pale Rider, Romance Western Clint Eastwood Warner Bros. Malpaso Company United States of America
The Thin Red Line, Drama History War Terrence Malick Fox 2000 Pictures Phoenix Pictures Geisler-Roberdeau Canada United States of America
Mighty Joe Young, Action Adventure Family Fantasy Ron Underwood Walt Disney Pictures RKO Pictures United States of America
Trick or Treat, Horror Music Charles Martin Smith De Laurentiis Entertainment Group (DEG) United States of America
Heartbreak Ridge, Action Comedy Drama War Clint Eastwood Malpaso Productions Jay Weston Productions United States of America
8MM,8MM Collection Thriller Crime Mystery Joel Schumacher Columbia Pictures Corporation Hofflund/Polone Global Entertainment Productions GmbH & Company Medien KG United States of America
Conquest of the Planet of the Apes,Planet of the Apes Original Collection Action Science Fiction J. Lee Thompson Twentieth Century Fox Film Corporation APJAC Productions United States of America
Dead Ringers, Drama Horror Thriller David Cronenberg Téléfilm Canada Morgan Creek Productions Mantle Clinic II Canada United States of America
Superman,Superman Collection Action Adventure Fantasy Science Fiction Richard Donner Warner Bros. Dovemead Films Film Export A.G. United Kingdom United States of America
Tarantula, Horror Science Fiction Thriller Jack Arnold Universal International Pictures (UI) United States of America
A Place at the Table, Documentary Kristi Jacobson Lori Silverbush  United States of America
The Blair Witch Project,Blair Witch Collection Horror Mystery Daniel Myrick Eduardo Sánchez Artisan Entertainment Haxan Films United States of America
